"arc_length","Result"
0,0
0.01,8451000000000001
0.02,1.6902E+016
0.03,2.4413E+016
0.04,3.1026E+016
0.05,3.7621E+016
0.06,4.3658E+016
0.07,4.9694E+016
0.08,5.5585E+016
0.09,6.1376E+016
0.1,6.7136E+016
0.11,7.2715E+016
0.12,7.8293E+016
0.13,8.374E+016
0.14,8.911E+016
0.15,9.446E+016
0.16,9.9653E+016
0.17,1.0485E+017
0.18,1.0992E+017
0.19,1.1491E+017
0.2,1.1988E+017
0.21,1.2462E+017
0.22,1.2935E+017
0.23,1.3395E+017
0.24,1.3842E+017
0.25,1.4289E+017
0.26,1.471E+017
0.27,1.5131E+017
0.28,1.5539E+017
0.29,1.5937E+017
0.3,1.6334E+017
0.31,1.6704E+017
0.32,1.7075E+017
0.33,1.7433E+017
0.34,1.7781E+017
0.35,1.8128E+017
0.36,1.8459E+017
0.37,1.879E+017
0.38,1.9104E+017
0.39,1.9402E+017
0.4,1.9702E+017
0.41,1.9967E+017
0.42,2.0232E+017
0.43,2.0487E+017
0.44,2.073E+017
0.45,2.0973E+017
0.46,2.1194E+017
0.47,2.1415E+017
0.48,2.1624E+017
0.49,2.182E+017
0.5,2.2017E+017
0.51,2.219E+017
0.52,2.2364E+017
0.53,2.2527E+017
0.54,2.2679E+017
0.55,2.2833E+017
0.56,2.2963E+017
0.57,2.3093E+017
0.58,2.3216E+017
0.59,2.3326E+017
0.6,2.3436E+017
0.61,2.3529E+017
0.62,2.3621E+017
0.63,2.3706E+017
0.64,2.3783E+017
0.65,2.386E+017
0.66,2.3918E+017
0.67,2.3977E+017
0.68,2.4027E+017
0.69,2.4068E+017
0.7,2.4109E+017
0.71,2.413E+017
0.72,2.415E+017
0.73,2.4165E+017
0.74,2.4169E+017
0.75,2.4175E+017
0.76,2.417E+017
0.77,2.4165E+017
0.78,2.4152E+017
0.79,2.4128E+017
0.8,2.4107E+017
0.81,2.4066E+017
0.82,2.4024E+017
0.83,2.3981E+017
0.84,2.3932E+017
0.85,2.3884E+017
0.86,2.3828E+017
0.87,2.3773E+017
0.88,2.3714E+017
0.89,2.365E+017
0.9,2.3586E+017
0.91,2.351E+017
0.92,2.3434E+017
0.93,2.3353E+017
0.94,2.3267E+017
0.95,2.3182E+017
0.96,2.3085E+017
0.97,2.2988E+017
0.98,2.2888E+017
0.99,2.2783E+017
1,2.268E+017
1.01,2.2569E+017
1.02,2.2458E+017
1.03,2.2342E+017
1.04,2.2222E+017
1.05,2.2102E+017
1.06,2.1978E+017
1.07,2.1854E+017
1.08,2.1725E+017
1.09,2.1592E+017
1.1,2.1459E+017
1.11,2.1322E+017
1.12,2.1184E+017
1.13,2.1044E+017
1.14,2.09E+017
1.15,2.0757E+017
1.16,2.0603E+017
1.17,2.0449E+017
1.18,2.0293E+017
1.19,2.0136E+017
1.2,1.9978E+017
1.21,1.9816E+017
1.22,1.9655E+017
1.23,1.949E+017
1.24,1.9321E+017
1.25,1.9154E+017
1.26,1.8982E+017
1.27,1.881E+017
1.28,1.8634E+017
1.29,1.8456E+017
1.3,1.8278E+017
1.31,1.8097E+017
1.32,1.7916E+017
1.33,1.7733E+017
1.34,1.7548E+017
1.35,1.7362E+017
1.36,1.717E+017
1.37,1.6979E+017
1.38,1.6785E+017
1.39,1.6588E+017
1.4,1.6391E+017
1.41,1.6189E+017
1.42,1.5986E+017
1.43,1.5781E+017
1.44,1.5573E+017
1.45,1.5365E+017
1.46,1.5151E+017
1.47,1.4937E+017
1.48,1.4722E+017
1.49,1.4504E+017
1.5,1.4286E+017
1.51,1.4061E+017
1.52,1.3837E+017
1.53,1.3611E+017
1.54,1.3383E+017
1.55,1.3155E+017
1.56,1.2923E+017
1.57,1.2691E+017
1.58,1.2454E+017
1.59,1.2214E+017
1.6,1.1974E+017
1.61,1.1725E+017
1.62,1.1477E+017
1.63,1.1226E+017
1.64,1.0972E+017
1.65,1.0717E+017
1.66,1.0456E+017
1.67,1.0195E+017
1.68,9.9323E+016
1.69,9.6667E+016
1.7,9.4023E+016
1.71,9.1341E+016
1.72,8.8659E+016
1.73,8.5964E+016
1.74,8.3258E+016
1.75,8.0561E+016
1.76,7.7858E+016
1.77,7.5155E+016
1.78,7.2527E+016
1.79,6.9924E+016
1.8,6.7331E+016
1.81,6.4782E+016
1.82,6.2233E+016
1.83,5.9683E+016
1.84,5.7129E+016
1.85,5.4578E+016
1.86,5.2006E+016
1.87,4.9433E+016
1.88,4.6799E+016
1.89,4.4114E+016
1.9,4.1422E+016
1.91,3.8484E+016
1.92,3.5547E+016
1.93,3.2395E+016
1.94,2.905E+016
1.95,2.5686E+016
1.96,2.1524E+016
1.97,1.7362E+016
1.98,1.2198E+016
1.99,6099000000000000
2,0
